ID;model_type;d_model;dim_ff;num_of_layers;nhead;sequence_size;input_size;output_size;input_id;step_size;dropout
1641;Transformer;64;192;2;2;120;12;1;2;5;0.1
1642;Transformer;64;256;2;2;120;12;1;2;5;0.1
1643;Transformer;16;32;3;2;120;12;1;2;5;0.1
1644;Transformer;16;48;3;2;120;12;1;2;5;0.1
1645;Transformer;16;64;3;2;120;12;1;2;5;0.1
1646;Transformer;32;64;3;2;120;12;1;2;5;0.1
1647;Transformer;32;96;3;2;120;12;1;2;5;0.1
1648;Transformer;32;128;3;2;120;12;1;2;5;0.1
1649;Transformer;64;128;3;2;120;12;1;2;5;0.1
1650;Transformer;64;192;3;2;120;12;1;2;5;0.1
1651;Transformer;64;256;3;2;120;12;1;2;5;0.1
1652;Transformer;16;32;4;2;120;12;1;2;5;0.1
1653;Transformer;16;48;4;2;120;12;1;2;5;0.1
1654;Transformer;16;64;4;2;120;12;1;2;5;0.1
1655;Transformer;32;64;4;2;120;12;1;2;5;0.1
1656;Transformer;32;96;4;2;120;12;1;2;5;0.1
1657;Transformer;32;128;4;2;120;12;1;2;5;0.1
1658;Transformer;64;128;4;2;120;12;1;2;5;0.1
1659;Transformer;64;192;4;2;120;12;1;2;5;0.1
1660;Transformer;64;256;4;2;120;12;1;2;5;0.1
1661;Transformer;16;32;2;4;120;12;1;2;5;0.1
1662;Transformer;16;48;2;4;120;12;1;2;5;0.1
1663;Transformer;16;64;2;4;120;12;1;2;5;0.1
1664;Transformer;32;64;2;4;120;12;1;2;5;0.1
1665;Transformer;32;96;2;4;120;12;1;2;5;0.1
1666;Transformer;32;128;2;4;120;12;1;2;5;0.1
1667;Transformer;64;128;2;4;120;12;1;2;5;0.1
1668;Transformer;64;192;2;4;120;12;1;2;5;0.1
1669;Transformer;64;256;2;4;120;12;1;2;5;0.1
1670;Transformer;16;32;3;4;120;12;1;2;5;0.1
1671;Transformer;16;48;3;4;120;12;1;2;5;0.1
1672;Transformer;16;64;3;4;120;12;1;2;5;0.1
1673;Transformer;32;64;3;4;120;12;1;2;5;0.1
1674;Transformer;32;96;3;4;120;12;1;2;5;0.1
1675;Transformer;32;128;3;4;120;12;1;2;5;0.1
1676;Transformer;64;128;3;4;120;12;1;2;5;0.1
1677;Transformer;64;192;3;4;120;12;1;2;5;0.1
1678;Transformer;64;256;3;4;120;12;1;2;5;0.1
1679;Transformer;16;32;4;4;120;12;1;2;5;0.1
1680;Transformer;16;48;4;4;120;12;1;2;5;0.1
1681;Transformer;16;64;4;4;120;12;1;2;5;0.1
1682;Transformer;32;64;4;4;120;12;1;2;5;0.1
1683;Transformer;32;96;4;4;120;12;1;2;5;0.1
1684;Transformer;32;128;4;4;120;12;1;2;5;0.1
1685;Transformer;64;128;4;4;120;12;1;2;5;0.1
1686;Transformer;64;192;4;4;120;12;1;2;5;0.1
1687;Transformer;64;256;4;4;120;12;1;2;5;0.1
1688;Transformer;16;32;2;8;120;12;1;2;5;0.1
1689;Transformer;16;48;2;8;120;12;1;2;5;0.1
1690;Transformer;16;64;2;8;120;12;1;2;5;0.1
1691;Transformer;32;64;2;8;120;12;1;2;5;0.1
1692;Transformer;32;96;2;8;120;12;1;2;5;0.1
1693;Transformer;32;128;2;8;120;12;1;2;5;0.1
1694;Transformer;64;128;2;8;120;12;1;2;5;0.1
1695;Transformer;64;192;2;8;120;12;1;2;5;0.1
1696;Transformer;64;256;2;8;120;12;1;2;5;0.1
1697;Transformer;16;32;3;8;120;12;1;2;5;0.1
1698;Transformer;16;48;3;8;120;12;1;2;5;0.1
1699;Transformer;16;64;3;8;120;12;1;2;5;0.1
1700;Transformer;32;64;3;8;120;12;1;2;5;0.1
1701;Transformer;32;96;3;8;120;12;1;2;5;0.1
1702;Transformer;32;128;3;8;120;12;1;2;5;0.1
1703;Transformer;64;128;3;8;120;12;1;2;5;0.1
