time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref
2.64 sec,0,0,0,-0.489747324275408,-5.72886356409175e-13,0
2.65 sec,0,0,0,-0.492528150392528,5.22797083402082e-13,0
2.66 sec,0,0,0,-0.489747324275408,-5.72888091132651e-13,0
2.67 sec,0,0,-0.001684,-0.492528150392528,-0.0016839999993088,0
2.68 sec,0,0,0,-0.489747324275408,-3.1750426940369e-13,0
2.69 sec,0,0,0,-0.492528150392527,5.22755450038659e-13,0
2.7 sec,0,0,-0.001684,-0.489747294294727,-0.00168400000040331,0
2.71 sec,0,0,-0.001684,-0.492525471273414,-0.00168399999905459,0
2.72 sec,0,0,-0.00170926,-0.489750163436853,-0.00170926000014308,0
2.73 sec,0,0,0,-0.492519696683105,7.74968630934403e-13,0
2.74 sec,0,0,-0.001684,-0.48976384063875,-0.00168400000039281,0
2.75 sec,0,0,0,-0.492499376104808,7.60662366428022e-13,0
2.76 sec,0,0,0,-0.489789587652282,-5.51874518306406e-13,0
2.77 sec,0,0,0,-0.492475173202873,4.97109298169818e-13,0
2.78 sec,0,0.000350000000000048,-0.00171767999999992,-0.489810428189686,-0.00171768000037184,0
2.79 sec,0,0.00144,0,-0.492454221988312,7.51752826655405e-13,0
2.8 sec,0,0.00212000000000004,0,-0.489825737196043,-5.40194625142654e-13,0
2.81 sec,0,0.00307,0,-0.492444562833393,4.88931811704063e-13,0
2.82 sec,0.01098,0.00378,-0.00171768,-0.489831991877874,-0.00171768000036725,0
2.83 sec,0.01305,0.00442,0,-0.492441241737227,7.49417021495002e-13,0
2.84 sec,0.01541,0.00497,-0.00169242,-0.489832321122644,-0.00169242000036978,0
2.85 sec,0.01808,0.00544,-0.00169242,-0.492441176931854,-0.00169241999908633,0
2.86 sec,0.02108,0.00583,-0.00171768,-0.489834904599683,-0.00171768000010709,0
2.87 sec,0.0244,0.00612,-0.00171768,-0.492432855208731,-0.00171767999908352,0
2.88 sec,0.02808,0.00633,-0.00169242,-0.48984360939526,-0.00169242000010111,0
2.89 sec,0.03212,0.00646,0,-0.492421162949169,7.35028357623513e-13,0
2.9 sec,0.03654,0.0065,0,-0.489858028354675,-5.28503456276308e-13,0
2.91 sec,0.04136,0.00646,0,-0.492414308530896,4.78406377013574e-13,0
2.92 sec,0.04658,0.00634,0,-0.489858709990057,-5.28501721552832e-13,0
2.93 sec,0.05221,0.00615,-0.00169242,-0.492414238901428,-0.00169241999935235,0
2.94 sec,0.05829,0.0059,-8.42e-05,-0.489858715715697,-8.42000002634199e-05,0
